gem_id,gem_name,gem_slug,gem_price,query_primary,query_fallback,fk_name,fk_price,similarity,scorer,matched,cosine_ok,model_token_match,pack_match,gem_tokens,fk_tokens,gem_pack,fk_pack,decision,reason
13,ZEBRONICS RF (with USB Receiver) Wireless …,wireless-keyboard-mouse-combo,645.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Companion 201 Wireless Standard Desktop Keybo... 4.2 (3,104)",888.0,0.6227,embedding,NO,True,False,False,receiver,01 04 104 201 companion keybo,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'keybo', '104', '04', '01', '201', 'companion'}); pack mismatch (gem=bundle vs fk=1)"
13,ZEBRONICS RF (with USB Receiver) Wireless …,wireless-keyboard-mouse-combo,645.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Zeb-K20 Keyboard and Zeb-Rise Mouse Combo Set... 3.9 (1,617)",500.0,0.6025,embedding,NO,True,False,True,receiver,17 20 617 k20 rise zeb,bundle,bundle,REJECT,"no model token overlap ({'receiver'} vs {'k20', '20', 'rise', '17', 'zeb', '617'})"
15,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,690.97,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Zeb-Companion 300 Wireless Keyboard with Retr... 4.3 (3,236)",1299.0,0.6353,embedding,NO,True,False,False,receiver,00 236 300 36 companion retr zeb,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'36', 'companion', 'zeb', 'retr', '236', '00', '300'}); pack mismatch (gem=bundle vs fk=1)"
15,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,690.97,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Companion 201 Wireless Standard Desktop Keybo... 4.2 (3,101)",1099.0,0.5919,embedding,NO,False,False,False,receiver,01 101 201 companion keybo,bundle,1,REJECT,"cosine 0.592 < 0.6; no model token overlap ({'receiver'} vs {'101', 'keybo', '01', '201', 'companion'}); pack mismatch (gem=bundle vs fk=1)"
15,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,690.97,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS Zeb-Companion 301 (Garden) Wireless Standard ... 4.2 (916),999.0,0.4726,embedding,NO,False,False,False,receiver,01 16 301 916 companion garden zeb,bundle,1,REJECT,"cosine 0.473 < 0.6; no model token overlap ({'receiver'} vs {'companion', '301', 'garden', '01', '916', 'zeb', '16'}); pack mismatch (gem=bundle vs fk=1)"
16,LAPCARE RF (with USB Receiver) Wireless …,lapcare-wireless-combo-wl-204,750.0,lapcare wireless combo wl 204,lapcare wireless combo,LAPCARE USB Adapter,350.0,0.6189,embedding,NO,True,False,False,04 204 receiver wl,,bundle,1,REJECT,"no model token overlap ({'receiver', '04', 'wl', '204'} vs -); pack mismatch (gem=bundle vs fk=1)"
16,LAPCARE RF (with USB Receiver) Wireless …,lapcare-wireless-combo-wl-204,750.0,lapcare wireless combo wl 204,lapcare wireless combo,LAPCARE Laptop Battery for Asus X550C 4 Cell 2200 mAh P... 4.3 (16),1399.0,0.2607,embedding,NO,False,False,False,04 204 receiver wl,16 2200 6 cell mah x550c,bundle,1,REJECT,"cosine 0.261 < 0.6; no model token overlap ({'receiver', '04', 'wl', '204'} vs {'2200', '6', 'cell', 'x550c', '16', 'mah'}); pack mismatch (gem=bundle vs fk=1)"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,"PRODOT New Universal Powder 12A 88A, 337, 912, 925, 35A... 4.7 (10)",707.0,0.359,embedding,NO,False,False,True,receiver sparsh wlc,0 10 12 12a 25 337 35a 88a 912 925 powder universal,1,1,REJECT,"cosine 0.359 < 0.6; no model token overlap ({'sparsh', 'receiver', 'wlc'} vs {'0', '912', '337', '10', '35a', 'powder', '12', '25', '12a', 'universal', '88a', '925'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,"PRODOT 12/88, 88A,36A 1005 1020 1010 126NW 2900 Printer... 4.6 (46)",445.0,0.3297,embedding,NO,False,False,True,receiver sparsh wlc,005 010 020 1005 1010 1020 12 126nw 2 2900 36a 46 6 88 88a 900,1,1,REJECT,"cosine 0.330 < 0.6; no model token overlap ({'sparsh', 'receiver', 'wlc'} vs {'1005', '900', '46', '6', '010', '88', '005', '126nw', '1020', '12', '88a', '1010', '020', '2900', '36a', '2'})"
17,ProDot RF (with USB Receiver) Wireless …,prodot-wlc-sparsh,750.0,prodot wlc sparsh,,PRODOT DMP Ribbon Cartridge Compatible with EPSON PLQ 2... 3.5 (28),299.0,0.3218,embedding,NO,False,False,True,receiver sparsh wlc,28 8 dmp plq ribbon,1,1,REJECT,"cosine 0.322 < 0.6; no model token overlap ({'sparsh', 'receiver', 'wlc'} vs {'ribbon', '28', 'dmp', '8', 'plq'})"
